Starting RemoveRandom Benchmark Sync
OurIMPL 0	1733383	16191	24911	47767	115916	225517	410269	628477	684259	3517654	927721	3123050	7878608	5700148	19179728	21880958	103782957	399975291	403673135	1716714206
OurIMPL 1	7519	547	699	1309	2322	5017	10409	21787	46839	126210	240476	520315	1319078	3127263	6666678	22712041	54834971	173396403	394421206	2428589116
OurIMPL 2	1406	641	725	1372	2244	4960	10749	21613	44770	105283	200869	457454	1065661	2392910	5835727	21311643	48586018	152684171	580046750	2235808108
OurIMPL 3	1145	465	668	1266	2196	4817	10142	31001	43939	95157	208995	482837	1121219	2603799	5839139	19893391	45650526	162797681	543863849	1572813838
OurIMPL 4	1014	472	681	1297	2195	4765	9925	20156	42815	90099	198293	451467	1039179	3222015	6797464	17432478	55280378	175078034	565238655	2481409525
OurIMPL 5	1311	517	3439	1409	4294	6976	14712	29641	58663	130402	256813	558900	1511331	2732587	7061478	22662641	46385007	150396207	538394722	2406797825
OurIMPL 6	1363	451	651	1293	2221	4877	10140	21259	44703	96346	274595	524572	1055397	2743564	6955178	18764294	50515928	163362038	572386954	2099988514
OurIMPL 7	1581	484	668	1327	3038	5383	10936	22473	46505	111202	225621	593136	1568290	2756927	8116975	16640791	50267043	163990203	567340767	2565240450
OurIMPL 8	1298	517	720	1510	2485	5375	11609	23923	51827	110598	248935	622447	1338552	2819036	7487003	20484205	54077629	175780514	600802106	2316922300
OurIMPL 9	1166	486	671	1305	2225	4807	10328	20839	52788	92017	198371	467337	1130870	2766692	8636197	17640387	51534284	171649310	564410593	2384817088
JavaIMPL 0	123145	50165	62846	37493	85469	232484	310480	513834	513821	890907	1411076	748846	1557087	3614543	6600761	13600539	43290533	94062463	221452063	860603877
JavaIMPL 1	813	274	615	1188	2291	5130	9362	20002	40575	95770	230163	450434	1017653	2382396	5695280	13287430	35324582	96157515	217865193	550463486
JavaIMPL 2	910	443	452	854	1734	4357	9507	20626	40324	92505	211231	472441	1081548	2455022	6642614	14767083	35865007	80831897	210141497	506407494
JavaIMPL 3	947	309	1039	1265	2093	5382	10116	23468	53795	107378	244441	540525	1175329	2794522	5966979	18250481	39777921	96565722	234023361	546718643
JavaIMPL 4	1225	324	364	1082	2016	4804	9030	31292	42435	98628	224642	484002	1131361	2511008	6977233	17524159	37805638	104216302	229126470	519693140
JavaIMPL 5	1405	298	476	1035	1810	4115	8108	17721	39523	87697	240202	487062	1079932	2376524	6697604	16599071	33271489	91068603	224190696	512027431
JavaIMPL 6	873	265	672	1004	1612	4330	8686	20254	43351	97433	245485	721053	1069063	2611897	6377505	15077126	40093951	95813777	280172411	540688952
JavaIMPL 7	1048	469	393	750	1517	3839	8905	30976	43313	98989	211132	499230	1066776	2668559	6223323	15462110	41082053	101998838	229699434	534400687
JavaIMPL 8	975	414	582	844	1950	4189	9979	22415	48499	105805	220453	503742	1156953	3115901	6594993	13715638	38877074	95551865	229057852	554185844
JavaIMPL 9	799	261	658	1038	1635	3854	9166	25023	52658	94253	202431	433017	1025056	2464634	5771638	13349721	32883879	82945714	221387818	507474163


Starting RemoveRandom Benchmark Concurrent 1
OurIMPL 0	853	507	536	1142	1964	4576	9845	20277	43177	92625	207220	516324	1258530	2412291	6459913	18583447	50574732	168021399	407225648	2614367986
OurIMPL 1	1265	356	561	1202	2088	4798	10302	20682	44643	136821	211431	485221	1444154	2776944	8301584	21018567	53717640	172668508	620523530	1941757005
OurIMPL 2	880	339	550	1242	2150	4649	10231	20962	45146	96621	211528	488158	1217411	2807921	7506696	17862931	51347342	157192885	535420539	1525862227
OurIMPL 3	1011	362	554	1204	2141	4669	10086	21158	43843	95692	340901	528021	1345568	2719330	8749358	24339834	57401819	196062644	563042464	1343296713
